Ship (all names),Ship,eng_lat,eng_long,occurrence,Locations (freq.)
Ann,Ann,51.509865,-0.118092,7,London (7)
Blessing (or Blessinge),Blessing,50.15,-5.07,7,Falmouth (7)
Blessing (or Blessinge),Blessing,50.7595,-1.3002,2,Cowes (2)
Bona Nova (or bona Nova),Bona Nova,54.5767,-1.2355,1,Middlesbrough (1)
Diana,Diana,51.509865,-0.118092,7,London (7)
Discovery (or Discoverie),Discovery,51.509865,-0.118092,7,London (7)
Due Returne,Due Return,52.754,0.398,1,King's Lynn (1)
Duty (or Dutie),Duty,50.1651,-5.0689,2,Flushing (2)
"Elizabeth (or Elsabeth, Elzabeth)",Elizabeth,50.068611,-5.716111,3,Land's End (3)
"Falcon (or falcon, Faulcon, ffalcon)",Falcon,50.15,-5.07,7,Falmouth (7)
"Flying Hart or Flying Horse (of Flushing) (or Flying Harte, fflyinge Harte, fflyinge Hart, flyinge Hart, flyinge hart)",Flying Hart/Horse,50.805833,-1.087222,1,Portsmouth (1)
"Flying Hart or Flying Horse (of Flushing) (or Flying Harte, fflyinge Harte, fflyinge Hart, flyinge Hart, flyinge hart)",Flying Hart/Horse,50.1651,-5.0689,2,Flushing (2)
George (or Georg),George,51.4415,0.3685,3,Gravesend (3)
Hercules,Hercules,50.95,0.73,1,Rye (1)
Hercules,Hercules,50.7595,-1.3002,2,Cowes (2)
"John and Francis (or John & Francis, John and ffrancis)",John and Francis,51.4415,0.3685,3,Gravesend (3)
"John and Francis (or John & Francis, John and ffrancis)",John and Francis,50.15,-5.07,7,Falmouth (7)
"John and Francis (or John & Francis, John and ffrancis)",John and Francis,51.509865,-0.118092,7,London (7)
"London Merchant (or London Marchannt, London Marchant)",London Merchant,51.452778,0.374722,1,Tilburyfort (1)
Lion (or Lyon),Lion,50.15,-5.07,7,Falmouth (7)
Margaret (or Margrett),Margaret,51.453611,-2.5975,2,Bristol (2)
Phoenix,Phoenix,51.509865,-0.118092,7,London (7)
Phoenix,Phoenix,51.4415,0.3685,3,Gravesend (3)
Prosperous (or Prosporouse),Prosperous,50.068611,-5.716111,3,Land's End (3)
"Sea Adventure (or Seaventure, Sea-venture)",Sea Adventure,50.15,-5.07,7,Falmouth (7)
Star (or Starr),Star,50.068611,-5.716111,3,Land's End (3)
Supply (or Suply),Supply,51.453611,-2.5975,2,Bristol (2)
Swallow (or Swallowe),Swallow,50.15,-5.07,7,Falmouth (7)
Swallow (or Swallowe),Swallow,50.725,-2.94,1,Lyme Regis (1)
Swan (or Swann),Swan,51.08,-4.06,1,Barnstaple (1)
"Treasurer (or Treasorer, Treasoror, Treasuror, Tresoror)",Treasurer,51.509865,-0.118092,7,London (7)
Truelove,Truelove,51.509865,-0.118092,7,London (7)
Unity (or Unities),Unity,50.15,-5.07,7,Falmouth (7)
